similar,"n. 类似物
adj. 相似的"
keep on,"na. 继续；穿[戴]着不脱
"
keep on doing sth., 继续做某事；坚持做某事；继续作某事
keep to,"v. 坚持；固守
"
keep up,"na. 支持；保持；继续；停歇
"
keep up with,"na. 不落后
"
look after,"na. 照看；照顾；看管；对…负责
"
look around,"na. 看起来好像；环视
"
look at,"na. 看；考虑
"
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
"
look down on,"v. 轻视；看不起
"
look down upon,"v. 轻视
"
look for,"v. 寻找；探索；渴望；盼望
"
look forward to sth.,"na. 盼望
"
look forward to doing sth.,无
look into,"na. 窥视；调查；过问
"
look on,"na. 旁观；面向；看做
"
look upon,"na. 像很健康；看上去漂亮；(事情)顺利
"
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
be careful, 小心；当心；注意
take care,"v. 当心；留心
"
look out for,"v. 照料；寻求；期待；提防
"
look over,"na. 浏览；检查；察看
"
look through,"na. 浏览；翻查；对…视而不见；看穿
"
look up,"v. 查找；查阅；探望；看望
"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
"
make up,"na. 弥补；起草；定；签订
"
make up for sth.,"v. 偿还；赔偿
"
make up to sb.,"na. 接近；巴结；向女人求爱；补偿
"
made up one's mind,无
be made up of, 由…构成；组成；由…组成
be made of,"na. …制的
"
be made from,"na. 由…制成的
"
make off,"na. 逃亡
"
make out,"na. 理解；发现；起草；证明
"
make over,"na. 让；改造
"
put away,"v. 把…收起来；储存
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put in,"v. 探进；放进；输入；纳入
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put out,"v. 扑灭；熄灭；放出；伸出
"
put together,"na. 编辑；拼拢；比较考虑；使结婚
"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
put up with,"na. 忍住
"
set about,"na. 动手；开始；下手；着手
"
set aside,"na. 搁置；拨出；驳回
"
set down,"na. 记入；登记；定；设
"
set off,"na. 分；分割；划开；区划
"
set out for, 动身到某地；出发前往；出发去
set out to do sth., 着手做；着手做某事；开始做
set up,"na. 建立；创立；发起；开办
"
take apart,"na. 分解；拆分；剖析
"
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take down,"na. 扯下；卷起；记下；卸下
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take over,"na. 接管；继承
"
take to,"na. 嗜好；开始；参加；逃入
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn into,"v. 变成
"
turn ... into ..., 了解
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn out to be, 证明是；结果是；原来是
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn to,"v. 向(某人)求助；求助于
"
turn up,"v. 朝上翻；出现
"
add to,"na. 增加
"
add up,"na. 合计；符合预期的数目
"
add up to,"na. 总计共达；〔口语〕总之就是
"
build up,"na. 同“build”；建立；复兴；【军】集结(部队)
"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
carry out,"na. 实行；开展；完成
"
catch on,"na. 流行；受欢迎；理解；懂得
"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch up with,"v. 赶上
"
check in,"v. 〈美〉报到；(旅馆)登记
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
count on,"na. 指望；预料到；期望
"
deal with,"na. 办理；对待；与…交涉；与…交易
"
depend on,"v. 依靠
"
die down,"na. 殉国
"
die out,"na. 死绝
"
do away with,"na. 废除；干掉
"
do with,"na. 对付；忍耐；与…相处
"
do without,"na. 无需
"
drop by,"na. 随便访问一下
"
end up,"na. 结束；完事；[俚]死；直立着
"
end up with,"na. 以…而告终
"
fall down,"na. (向下游)流下；〔美俚〕失败；跌倒；同“fall”
"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
"
fall over,"na. 倒了；落在地上；(计算机)程序停止运行；跌倒
"
feed on,"na. 同“feed off ”；“live on”的变体
"
figure out,"na. 估计；解决；了解；〈口〉确定
"
find out,"na. 查出；发现；看清…的面目；识破
"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
hand down,"na. 宣布(判决等)；传下来
"
hand in,"na. 交进
"
hand out,"na. 分；拿出来；施舍
"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
"
hand up,"na. 交给；告密
"
knock at,"na. 敲(门,窗等)
"
knock on, 敲击; <非正>（使）增加; 不停地工作; 取消
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
knock into,"na. 敲进
"
lead to,"na. 通向
"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
let out,"na. 放宽；打；放出；泄漏
"
lie in,"na. 存在于；(分娩后)坐月子
"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
"
pass away,"na. 消失；Vi. 经过；去；终止
"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
pass down,"un. 过；一闪即逝；下达
"
pay back,"na. 偿还；报答；向…报复；付还
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
point out,"na. 指出
"
pull on,"na. 穿上(衣服)
"
pull up,"v. 拔起；使…停下
"
refer to,"v. 查阅；提到
"
result from,"v. 由于
"
result in,"na. 终于(失败)
"
rule out,"na. 排除
"
run away,"na. 私奔；逃；弄不好
"
run away from sb.,"na. 学生从(学校)逃出；水兵从(船里)逃出；放弃(主义等)
"
run away from sth.,"na. 学生从(学校)逃出；水兵从(船里)逃出；放弃(主义等)
"
run into,"na. 冲进；(河)注入(海)；撞上；到达
"
run up against,"na. 碰上；忽然碰上[碰到]
"
see off,"na. 送行；送别；告别；赶走
"
see through,"na. 看穿；看透；识破；办好某事
"
settle down,"na. 定居；成家；移居；平静下来
"
show off,"na. 卖弄；〈贬〉自以为是；趾高气扬；炫耀
"
show up,"na. 显眼；揭发；嘲笑；露面
"
speak for,"na. 代表…讲话；订购；要求得到
"
speak out,"na. 大声讲；老老实实讲
"
stand by,"na. 袖手旁观；站在旁边；待机；等待
"
stand for,"na. 〈口〉忍耐；忍受；主张；拥护
"
stand out,"na. 突出；显著；不参加战争；抵抗到底
"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stay up,"na. 不去睡觉；不沉
"
stay over,"v. 停留到
"
stick to,"na. 忠于
"
think about,"un. 思考；探讨；为…费心思；想像
"
think of,"na. 想起
"
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think twice,"na. 重新考虑；踌躇；“think twice/again”的变体
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
use up,"na. 用完；耗尽
"
work on,"na. 对…有效[有作用]；动(人,感情等)；向…做工作；左右
"
work out,"v. 作出；拟定；制定；计划一下
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
come off,"na. 同“come across”；(人)走了；(扣子,齿,发)脱落
"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
give off,"na. 发散(水蒸气等)
"
go off,"na. 进行得 (well； badly)；(话等)冒出
"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
"
keep off,"na. 不让接近；不接近
"
make off,"na. 逃亡
"
put off,"na. 延期；辩解
"
set off,"na. 分；分割；划开；区划
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
turn off,"v. 关掉
"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
see off,"na. 送行；送别；告别；赶走
"
show off,"na. 卖弄；〈贬〉自以为是；趾高气扬；炫耀
"
be based on,"v. 以…为基础
"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
catch on,"na. 流行；受欢迎；理解；懂得
"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
"
count on,"na. 指望；预料到；期望
"
decide on,"na. 决心
"
depend on,"v. 依靠
"
rely on,"v. 依靠；信赖
"
feed on,"na. 同“feed off ”；“live on”的变体
"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
concentrate on,"na. 集中在；专心于
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
"
hang on,"v. 坚守；守住；坚持；支撑着
"
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
"
insist on,"v. 坚持；强调
"
keep on,"na. 继续；穿[戴]着不脱
"
knock on, 敲击; <非正>（使）增加; 不停地工作; 取消
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
"
look down on,"v. 轻视；看不起
"
look down upon,"v. 轻视
"
look on,"na. 旁观；面向；看做
"
look upon,"na. 像很健康；看上去漂亮；(事情)顺利
"
pull on,"na. 穿上(衣服)
"
put on,"na. 假话
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
turn on,"na. 转向；对…进行突击
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
work on,"na. 对…有效[有作用]；动(人,感情等)；向…做工作；左右
"
be cast down, 沮丧
break down,"v. 分解；抛锚；分析；划分
"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
"
calm down,"na. 平静下来
"
come down to,"v. 降至；归结起来；变为；归结为
"
come down,"na. 败落；退步；(飞机的)下降
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
die down,"na. 殉国
"
fall down,"na. (向下游)流下；〔美俚〕失败；跌倒；同“fall”
"
get down to sth.,"v. 认真对待
"
get down to doing sth.,无
get down,"na. 开始认真对待；落下；下车；写下
"
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
"
hand down,"na. 宣布(判决等)；传下来
"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
look down on,"v. 轻视；看不起
"
look down upon,"v. 轻视
"
pass down,"un. 过；一闪即逝；下达
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
set down,"na. 记入；登记；定；设
"
settle down,"na. 定居；成家；移居；平静下来
"
slow down,"na. 闲下来；减缓；放慢速度；减速
"
take down,"na. 扯下；卷起；记下；卸下
"
tear down,"na. 拆毁；扯下；猛冲
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring up,"na. 抚养；教导；教育；在…长大
"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
cheer up,"v. 鼓舞；振作一点
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
come up,"na. 走近；上升；抬头；(暴风雨等)起
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
"
get up,"na. 起床；起身；站起来；叫…起床
"
give up,"na. 放弃；断绝；投降；自首
"
go up,"na. 上升；上城市去；腾贵；烧起来
"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
"
keep up,"na. 支持；保持；继续；停歇
"
look up,"v. 查找；查阅；探望；看望
"
make up,"na. 弥补；起草；定；签订
"
make up for sth.,"v. 偿还；赔偿
"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
set up,"na. 建立；创立；发起；开办
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
turn up,"v. 朝上翻；出现
"
add up,"na. 合计；符合预期的数目
"
build up,"na. 同“build”；建立；复兴；【军】集结(部队)
"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
pack up,"na. 把…打成包；打包；捆好东西；解雇
"
pick up,"v. 拾起；探出；重新开始
"
pull up,"v. 拔起；使…停下
"
show up,"na. 显眼；揭发；嘲笑；露面
"
speed up,"na. 加快(机器等的)速度；使加紧做
"
split up,"na. (使)分裂；〔美俚〕吵架；同“split”
"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stay up,"na. 不去睡觉；不沉
"
tidy up,"v. 整理干净
"
use up,"na. 用完；耗尽
"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
"
make up to sb.,"na. 接近；巴结；向女人求爱；补偿
"
add up to,"na. 总计共达；〔口语〕总之就是
"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch up with,"v. 赶上
"
end up,"na. 结束；完事；[俚]死；直立着
"
end up with,"na. 以…而告终
"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
"
keep up with,"na. 不落后
"
put up with,"na. 忍住
"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；【航】起(锚)
"
bring out,"na. 公布；说出；出版；上演
"
burst out,"na. 冒出；现出；突然发作；突然发生
"
call out,"na. 呼喊；大声叫唤；召集；号召罢工
"
carry out,"na. 实行；开展；完成
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
come out,"na. 出来
"
cross out,"na. 取消
"
cut out,"na. 割掉；除去；剪下；开辟
"
die out,"na. 死绝
"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
"
fade out,"na. (使)渐隐；【无线电】(使)(声音)渐消
"
figure out,"na. 估计；解决；了解；〈口〉确定
"
find out,"na. 查出；发现；看清…的面目；识破
"
get out,"na. 摆脱；走出；〔命令语气〕出去!
"
give out,"na. 发表；放出；分发
"
go out,"na. 出去；灭；辞职；下台
"
hand out,"na. 分；拿出来；施舍
"
hold out,"na. 伸出；提出；维持；制止
"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
let out,"na. 放宽；打；放出；泄漏
"
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
be careful, 小心；当心；注意
take care,"v. 当心；留心
"
make out,"na. 理解；发现；起草；证明
"
pick out,"na. 挑选；掘出；闻出；领会
"
point out,"na. 指出
"
put out,"v. 扑灭；熄灭；放出；伸出
"
rule out,"na. 排除
"
send out,"na. “send forth”的变体
"
squeeze out,"na. 榨取；排斥
"
set about,"na. 动手；开始；下手；着手
"
set out for, 动身到某地；出发前往；出发去
set out to do sth., 着手做；着手做某事；开始做
speak out,"na. 大声讲；老老实实讲
"
stand out,"na. 突出；显著；不参加战争；抵抗到底
"
